instance,IR,alpha,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
neos-2629914-sudost,1,11.0,1.246777646458429e-11,1,4.046774864196777,1,5.254101874925758,1.0
neos-2629914-sudost,1,101.0,5.797650455318733e-12,1,3.349497079849243,1,48.242208124318324,1.0
neos-2746589-doon,0,0.0,1.84710107925368e-08,1,8.365977048873901,0,1.0,1.0
neos-2746589-doon,1,1.01,2.3881171812132368e-06,0,3600.681180715561,2,1.0,1.0
neos-2746589-doon,1,1.1,7.009277877930237e-06,0,3600.3600668907166,2,1.0,1.0
neos-2746589-doon,1,11.0,1.7610028893815879e-06,0,3600.759771823883,2,4.142985159944144,1.0
neos-2746589-doon,1,101.0,1.6783969715963158e-07,0,3600.654606103897,2,38.04013646857805,1.314385476775044
neos-3695882-vesdre,0,0.0,6.254144601189706e-09,1,2.564160108566284,0,1.0,1.0
neos-3695882-vesdre,1,1.01,5.754958818021512e-12,1,5.934792995452881,1,15.482659642533873,1.0
neos-3695882-vesdre,1,1.1,1.9574889673899616e-13,1,5.710596084594727,1,16.862302580977488,1.0
neos-3695882-vesdre,1,11.0,1.7945109604081008e-12,1,5.676800966262817,1,168.62302580977484,1.0712735005197924
neos-3695882-vesdre,1,101.0,1.890402981246214e-12,1,4.874139785766602,1,1548.2659642533874,9.83623850477264
neos-3755335-nizao,0,0.0,9.096588459231558e-09,1,3.8413870334625244,0,1.0,1.0
neos-3755335-nizao,1,1.01,3.1023591170535214e-10,1,5.985249042510986,1,1.0,1.0
neos-3755335-nizao,1,1.1,8.753432113442397e-12,1,6.254996061325073,1,1.0,1.0
neos-3755335-nizao,1,11.0,7.116829771372084e-11,1,6.196855068206787,1,1.1892774102413786,1.0
neos-3755335-nizao,1,101.0,1.027742395123605e-11,1,7.0928449630737305,1,10.91972894857993,1.0
neos-4760493-puerua,0,0.0,1.0214442866934694e-07,0,3601.3445341587067,0,1.0,1.0
neos-4760493-puerua,1,1.01,2.0853271452160059e-07,0,3601.302800178528,2,1.0,1.0
neos-4760493-puerua,1,1.1,8.094826308704866e-06,0,3601.509083032608,2,1.0,1.0
neos-4760493-puerua,1,11.0,5.339671694523385e-06,0,3601.484130859375,2,1.0,1.0
