instance,IR,alpha,method,KKT,success,time,k_iters,D1_maxcn,D2_maxcn
d20200,1,50.0,relmult,1.0497108944175726e-06,0,600.2083151340485,2,2500.0,2500.0
d20200,1,1000.0,median,3.067211672471006e-06,0,600.20893907547,2,1000000.0,16210.568767722229
d20200,1,1000.0,other,5.148303631704848e-07,0,600.6018590927124,2,1885.6433155707466,1997.3429644285707
d20200,1,1000.0,reldiv,1.3321900868505494e-07,0,600.5976927280426,2,1.0,1.0
d20200,1,10000.0,median,1.1758726480344174e-06,0,600.2050318717957,2,14369407.167179918,162105.6876772223
d20200,1,10000.0,reldiv,2.4071644242438506e-07,0,600.5268349647522,2,3.6386013635443835,4.712348497904751
d20200,1,100000.0,median,6.344628133942687e-06,0,600.5042562484741,2,143694071.67179918,1621056.8767722228
d20200,1,100000.0,reldiv,4.826850290362423e-07,0,600.1975951194763,2,36.38601363544384,47.12348497904751
dws008-03,0,0.0,reldiv,2.156101026681754e-09,1,1.1020121574401855,0,1.0,1.0
dws008-03,0,0.0,relmult,2.156101026681754e-09,1,1.1841771602630615,0,1.0,1.0
dws008-03,1,1.0,relmult,3.096751753762879e-12,1,3.15964412689209,1,1.0,1.0
dws008-03,1,5.0,relmult,3.4264435644407234e-12,1,3.655107021331787,1,1.3234037296045,25.0
dws008-03,1,10.0,relmult,3.684541863485777e-11,1,5.71837592124939,1,2.646807459209,100.0
dws008-03,1,50.0,relmult,7.788484241116648e-13,1,6.859663009643555,1,13.234037296045,2500.0
dws008-03,1,1000.0,median,7.257852378400454e-12,1,13.05610203742981,1,1000000.0,1000000.0
dws008-03,1,1000.0,other,3.7215440711589256e-13,1,3.6840481758117676,1,1.0,81.08285058443698
dws008-03,1,1000.0,reldiv,3.192073816323452e-12,1,3.092214822769165,1,1.0,1.0
dws008-03,1,10000.0,median,1.8156613917671936e-10,1,120.75432991981506,1,100000000.0,100000000.0
dws008-03,1,10000.0,reldiv,4.201165936856441e-12,1,3.293233871459961,1,1.0,1.0
dws008-03,1,100000.0,median,0.0003864974485636436,0,600.2535989284515,2,1146103350.2016203,10000000000.0
dws008-03,1,100000.0,reldiv,3.5165185320316726e-12,1,3.0786240100860596,1,1.0,1.0
eva1aprime6x6opt,0,0.0,reldiv,2.012543979920783e-07,1,18.99924612045288,0,1.0,1.0
